"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"1","ABBOTSFORD",9096,449,1050,2764,133,3067,"Yarra City Council",1321875,"Primary","1","Pri/Sec","2","Secondary","0","Special","0","Camp","0","Language","0"
"2","ABERFELDIE",26722,5318,2112,3002,25,3040,"Moonee Valley City Council",1922750,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"3","AIRPORT WEST",16763,4495,2030,129,14,3042,"Moonee Valley City Council",963125,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"4","ALBANVALE",55112,14505,2151,1227,31,3021,"Brimbank City Council",605000,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"5","ALBERT PARK",10043,719,2510,902,13,3206,"Port Phillip City Council",2332250,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"6","ALBION",44372,11614,2459,1098,16,3020,"Brimbank City Council",848000,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"7","ALPHINGTON",12237,2364,1147,1456,11,3078,"Darebin City Council",2196625,"Primary","2","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"8","ALTONA",13556,3573,1578,423,15,3018,"Hobsons Bay City Council",1164375,"Primary","3","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"9","ALTONA MEADOWS",28191,9016,1062,431,11,3028,"Hobsons Bay City Council",715825,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"10","ALTONA NORTH",12962,3233,1280,159,9,3025,"Hobsons Bay City Council",961025,"Primary","3","Pri/Sec","1","Secondary","2","Special","0","Camp","0","Language","0"
"11","ARMADALE",9376,1108,732,2511,8,3143,"Stonnington City Council",2577500,"Primary","1","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"12","ASCOT VALE",29874,4607,3050,4387,22,3032,"Moonee Valley City Council",1306000,"Primary","3","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"13","ASHBURTON",15102,3629,874,849,42,3147,"Boroondara City Council",1970000,"Primary","3","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"14","ASHWOOD",15102,3629,874,849,42,3147,"Monash City Council",1434850,"Primary","1","Pri/Sec","0","Secondary","1","Special","2","Camp","0","Language","0"
