"","Suburb","House_price_mean"
"4","ABBOTSFORD",1321875
"5","ABERFELDIE",1922750
"6","AINTREE",718500
"7","AIREYS INLET",1706500
"8","AIRPORT WEST",963125
"9","ALBANVALE",605000
"10","ALBERT PARK",2332250
"11","ALBION",848000
"12","ALEXANDRA",450250
"13","ALFREDTON",615875
"14","ALLANSFORD",455125
"15","ALPHINGTON",2196625
"16","ALTONA",1164375
"17","ALTONA EAST",989075
"18","ALTONA MEADOWS",715825
"19","ALTONA NORTH",961025
"20","ANGLESEA",1441875
"21","APOLLO BAY",917500
"22","ARARAT",303625
"23","ARDEER",716000
"24","ARMADALE",2577500
"25","ARMSTRONG CREEK",669075
"26","ARTHURS SEAT",1328125
"27","ASCOT (GREATER BENDIGO)",547575
"28","ASCOT VALE",1306000
"29","ASHBURTON",1970000
"30","ASHWOOD",1434850
"31","ASPENDALE",1303000
"32","ASPENDALE GARDENS",1130200
"33","ATTWOOD",987500
"34","AVENEL",470875
"35","AVOCA",342250
"36","AVONDALE HEIGHTS",962500
"37","AVONSLEIGH",797025
"38","BACCHUS MARSH",588800
"39","BADGER CREEK",674025
"40","BAIRNSDALE",356250
"41","BALACLAVA",1568500
"42","BALCOMBE",1789375
"43","BALLAN",604250
"44","BALLARAT CENTRAL",709250
"45","BALLARAT EAST",484000
"46","BALLARAT NORTH",557975
"47","BALNARRING",1297625
"48","BALNARRING BEACH",2236750
"49","BALWYN",2736000
"50","BALWYN NORTH",2251750
"51","BANDIANA",449525
"52","BANNOCKBURN",681250
"53","BARANDUDA",520975
"54","BARNAWARTHA",391125
"55","BARWON HEADS",1639375
"56","BAXTER",678075
"57","BAYSWATER",878325
"58","BAYSWATER NORTH",857625
"59","BEACONSFIELD",885250
"60","BEACONSFIELD UPPER",945700
"61","BEAUFORT",400125
"62","BEAUMARIS",2089625
"63","BEECHWORTH",625025
"64","BELGRAVE",790750
"65","BELGRAVE HEIGHTS",923625
"66","BELGRAVE SOUTH",1034675
"67","BELL PARK",627000
"68","BELL POST HILL",628625
"69","BELLFIELD (BANYULE)",981450
"70","BELMONT",728500
"71","BENALLA",381875
"72","BENDIGO",594500
"73","BENTLEIGH",1717500
"74","BENTLEIGH EAST",1462700
"75","BERWICK",835375
"76","BEVERIDGE",641475
"77","BIRCHIP",171000
"78","BIRREGURRA",673875
"79","BITTERN",760300
"80","BLACK HILL",555125
"81","BLACK ROCK",2434375
"82","BLACKBURN",1634625
"83","BLACKBURN NORTH",1299075
"84","BLACKBURN SOUTH",1320875
"85","BLACKWOOD",655825
"86","BLAIRGOWRIE",1543000
"87","BLIND BIGHT",657375
"88","BONBEACH",1150000
"89","BONNIE BROOK",NA
"90","BONNIE DOON",612500
"91","BONSHAW",540625
"92","BOOLARRA",361750
"93","BOORT",247625
"94","BORONIA",839125
"95","BOTANIC RIDGE",879500
"96","BOX HILL",1611500
"97","BOX HILL NORTH",1310625
"98","BOX HILL SOUTH",1531125
"99","BRAYBROOK",765625
"100","BREAKWATER",541200
"101","BRIAGOLONG",381550
"102","BRIAR HILL",1026625
"103","BRIDGEWATER ON LODDON",342500
"104","BRIGHT",986950
"105","BRIGHTON",3474000
"106","BRIGHTON EAST",2294075
"107","BROADFORD",525000
"108","BROADMEADOWS",592825
"109","BROOKFIELD",537125
"110","BROOKLYN",867250
"111","BROWN HILL",614375
"112","BRUNSWICK",1338375
"113","BRUNSWICK EAST",1391875
"114","BRUNSWICK WEST",1345500
"115","BRUTHEN",311125
"116","BULLEEN",1371000
"117","BUNDALONG",755625
"118","BUNDOORA",867000
"119","BUNINYONG",666250
"120","BUNYIP",664575
"121","BURNSIDE",705375
"122","BURNSIDE HEIGHTS",697750
"123","BURWOOD",1435500
"124","BURWOOD EAST",1267750
"125","CAIRNLEA",822625
"126","CALIFORNIA GULLY",412250
"127","CAMBERWELL",2554500
"128","CAMPBELLFIELD",604500
"129","CAMPBELLS CREEK",613750
"130","CAMPERDOWN",370450
"131","CANADIAN",511250
"132","CANTERBURY",3437250
"133","CAPE PATERSON",834775
"134","CAPE SCHANCK",1435250
"135","CAPEL SOUND",783950
"136","CARISBROOK",346750
"137","CARLTON",1505625
"138","CARLTON NORTH",1696625
"139","CARNEGIE",1802775
"140","CAROLINE SPRINGS",717700
"141","CARRUM",988375
"142","CARRUM DOWNS",682825
"143","CASTERTON",228875
"144","CASTLEMAINE",668125
"145","CAULFIELD",2055250
"146","CAULFIELD NORTH",2530625
"147","CAULFIELD SOUTH",1899500
"148","CHADSTONE",1229375
"149","CHARLEMONT",620000
"150","CHARLTON",202000
"151","CHELSEA",1197625
"152","CHELSEA HEIGHTS",973000
"153","CHELTENHAM",1320875
"154","CHELTENHAM EAST",1175125
"155","CHELTENHAM NORTH",1061625
"156","CHEWTON",647375
"157","CHILTERN",356250
"158","CHIRNSIDE PARK",891875
"159","CHURCHILL",305250
"160","CLARINDA",1041750
"161","CLAYTON",1174200
"162","CLAYTON NORTH",1276100
"163","CLAYTON SOUTH",957025
"164","CLIFTON HILL",1695125
"165","CLIFTON SPRINGS",657500
"166","CLUNES",421250
"167","CLYDE",635075
"168","CLYDE NORTH",681875
"169","COBBLEBANK",565750
"170","COBDEN",344000
"171","COBRAM",372750
"172","COBURG",1256250
"173","COBURG EAST",1111600
"174","COBURG NORTH",1015375
"175","COCKATOO",723075
"176","COHUNA",252500
"177","COLAC",422125
"178","COLDSTREAM",757200
"179","COLERAINE",178600
"180","COLLINGWOOD",1236750
"181","CONNEWARRE",1748750
"182","COOLAROO",498750
"183","COONANS HILL",1209875
"184","COONGULLA",310825
"185","CORINELLA",656325
"186","CORIO",457500
"187","CORONET BAY",507125
"188","CORRYONG",241500
"189","COWES",837375
"190","COWES WEST",720000
"191","CRAIGIEBURN",620625
"192","CRANBOURNE",613750
"193","CRANBOURNE EAST",661200
"194","CRANBOURNE NORTH",657100
"195","CRANBOURNE SOUTH",699375
"196","CRANBOURNE WEST",621850
"197","CREMORNE",1571300
"198","CRESWICK",481700
