suburb,OctDec20,JanMar2021,AprJun2021,JulAug21,OctDec21
ABBOTSFORD,1230000,1370000,1470000,1107500,1340000
ABERFELDIE,1620000,1788000,1830000,1790000,2283000
AIRPORT WEST,830000,887500,955000,990000,1020000
ALBANVALE,577500,590000,615000,595000,620000
ALBERT PARK,2015000,2390000,2444000,2195000,2300000
ALBION,720000,760000,867500,944500,820000
ALPHINGTON,2035000,1850000,2300000,2095000,2541500
ALTONA,900000,1115000,1075000,1205000,1262500
ALTONA MEADOWS,680000,680800,700000,752500,730000
ALTONA NORTH,830000,861100,994500,976000,1012500
ARMADALE,2802500,2700000,2650000,2550000,2410000
ASCOT VALE,1215000,1210000,1310000,1353000,1351000
ASHBURTON,1655000,1777500,2000000,1852500,2250000
ASHWOOD,1271000,1350100,1434300,1465000,1490000
ASPENDALE,1095000,1150000,1250000,1362000,1450000
ASPENDALE GARDENS,970000,1070000,1110800,1140000,1200000
ATTWOOD,774800,1040000,940000,920000,1050000
AVONDALE HEIGHTS,870000,900000,937500,1012500,1000000
BALWYN,2358000,2636500,2717500,2840000,2750000
BALWYN NORTH,1850000,2065000,2156000,2379000,2407000
BAYSWATER NORTH,731000,830000,818000,894500,888000
BEAUMARIS,1710000,1866000,2050000,2230000,2212500
BELLFIELD,NA,NA,NA,NA,NA
BENTLEIGH,1587500,1600000,1622500,1850000,1797500
BENTLEIGH EAST,1305000,1368500,1450000,1527300,1505000
BLACK ROCK,1875000,2450000,2480000,2002500,2805000
BLACKBURN,1550000,1600000,1638500,1600000,1700000
BLACKBURN NORTH,1107500,1226500,1276300,1337500,1356000
BLACKBURN SOUTH,1100000,1260000,1340000,1316000,1367500
BONBEACH,963800,930000,1170000,1150000,1350000
BORONIA,721000,785000,825000,865000,881500
BOX HILL,1481300,1578000,1718000,1510000,1640000
BRAYBROOK,689000,727000,770000,772500,793000
BRIGHTON,3420500,3520000,3606000,3400000,3370000
BRIGHTON EAST,2087500,2125000,2245000,2450000,2356300
BROADMEADOWS,556800,568300,595000,590000,618000
BRUNSWICK,1115000,1300000,1321000,1352500,1380000
BRUNSWICK EAST,1307000,1400000,1452500,1280000,1435000
BRUNSWICK WEST,1250500,1415000,1385000,1260000,1322000
BULLEEN,1052500,1307500,1306500,1340000,1530000
BUNDOORA,751000,813000,840000,910000,905000
BURWOOD,1309000,1395000,1372000,1500000,1475000
BURWOOD EAST,1106000,1191000,1301000,1274000,1305000
CAMBERWELL,2057500,2405500,2512500,2650000,2650000
CANTERBURY,3250000,2975000,3890000,3494000,3390000
CARLTON,1490000,1367500,1670000,1280000,1705000
CARLTON NORTH,1455000,1605000,1696500,1830000,1655000
CARNEGIE,1612500,1670000,1800000,1920100,1821000
CAROLINE SPRINGS,628000,670000,720000,730800,750000
CARRUM,795000,937500,952500,1001000,1062500
CARRUM DOWNS,587000,649000,668300,676500,737500
CAULFIELD EAST,NA,NA,NA,NA,NA
CAULFIELD NORTH,2335000,2550000,2460000,2412500,2700000
CAULFIELD SOUTH,1765000,1705000,2101000,1807000,1985000
CHADSTONE,1095000,1105000,1211000,1251500,1350000
CHELSEA,983800,1117000,1311000,1122500,1240000
CHELTENHAM,1201000,1215000,1321000,1360000,1387500
CHINTIN,NA,NA,NA,NA,NA
CLAYTON,1066000,1070000,1220000,1265500,1141300
CLAYTON SOUTH,906500,851600,990000,981500,1005000
CLIFTON HILL,1413000,1630000,1750000,1625000,1775500
COBURG,1127500,1115000,1220000,1340000,1350000
COBURG NORTH,920000,960500,965000,1130000,1006000
COLLINGWOOD,1155000,1228000,1225000,1231000,1263000
CRAIGIEBURN,570000,590000,620000,622500,650000
CRANBOURNE,518000,585000,605000,610000,655000
CRANBOURNE NORTH,590000,634800,630000,680000,683600
CROYDON,847500,860900,900000,940000,1022500
DALLAS,486300,527500,490000,545000,542700
DANDENONG,632500,690000,700000,674500,721000
DANDENONG NORTH,638800,705000,720000,725000,755000
DARLEY,555000,570000,625000,646500,660000
DEEPDENE,2685000,3480000,3042500,4194000,2731500
DEER PARK,592000,620000,623000,617500,650000
DELAHEY,573500,598000,672000,622500,676000
DIAMOND CREEK,896000,915000,1023000,997500,1053500
DINGLEY VILLAGE,960000,980000,1057300,1067500,1123000
DONCASTER,1302000,1386000,1460000,1480000,1538000
DONCASTER EAST,1276500,1435000,1489000,1500000,1560800
DONVALE,1230000,1219000,1320000,1430000,1410000
EAGLEMONT,2540000,2175000,2677000,2365000,2821900
EAST MELBOURNE,3087500,3725000,4950000,1792500,2900000
EDITHVALE,1100000,1270000,1211000,1205000,1200000
ELSTERNWICK,2022500,2150000,2107500,1755000,2412500
ELTHAM,1078000,1100200,1165000,1282600,1300000
ELTHAM NORTH,1070000,1134000,1160000,1425000,1350000
ELWOOD,2175000,2100000,2055000,2400000,2267500
ENDEAVOUR HILLS,690000,730000,735000,730500,830000
EPPING,577300,600000,640000,650000,700000
ESSENDON,1657500,1608000,1750000,1870000,1750000
ESSENDON NORTH,1254000,1190000,1400000,1617500,1275000
ESSENDON WEST,1260000,1245000,1270000,1307500,1475000
FAIRFIELD,1413000,1577500,1542000,1905500,2001000
FAWKNER,720000,787500,820000,830000,840000
FERNTREE GULLY,760000,820000,830800,882000,930000
FITZROY,1425000,1420000,1400000,1438000,1545000
FITZROY NORTH,1565000,1805000,1740000,1720000,1665000
FOOTSCRAY,920500,853500,950000,985500,1107500
FOREST HILL,980500,1068500,1180100,1230000,1336500
FRANKSTON,640000,680000,746800,769000,795000
FRANKSTON,640000,680000,746800,769000,795000
FRANKSTON,640000,680000,746800,769000,795000
FRANKSTON,640000,680000,746800,769000,795000
FRANKSTON NORTH,468500,530000,575000,599500,610000
FRANKSTON SOUTH,898800,995000,1082500,1245000,1236000
GLADSTONE PARK,650000,701000,720000,730000,750000
GLEN IRIS,2200000,2290000,2637500,2125000,2537500
GLEN WAVERLEY,1329500,1425000,1600000,1605000,1600000
GLENROY,777500,822500,825000,850000,877500
GOWANBRAE,691000,885000,998800,936000,1025500
GREENSBOROUGH,865000,907000,975500,1072000,1060000
GREENVALE,722000,770000,810000,850000,846300
HADFIELD,780000,820000,900000,890000,905000
HAMPTON,2175000,2300000,2180000,2615000,2556500
HAWTHORN,2005000,3455000,2545000,2650000,2971000
HEATHMONT,930000,1030000,1061000,1079500,1111000
HEIDELBERG,1320000,1318000,1382500,1425000,1572500
HEIDELBERG HEIGHTS,800000,960000,1000000,974500,1065000
HEIDELBERG WEST,740000,730000,780500,885000,850000
HIGHETT,1390000,1496000,1622000,1572500,1600000
HILLSIDE,NA,NA,NA,NA,NA
HOPPERS CROSSING,560000,545000,580000,600000,609000
HUGHESDALE,1052500,1387700,1409000,1367500,1611000
HUNTINGDALE,1172000,1402000,1288000,1244000,1295300
IVANHOE,1640000,1830000,1670000,1781800,2100000
IVANHOE EAST,1910000,2237500,2415000,2000000,2502500
JACANA,549000,595000,640000,620000,640000
KEILOR DOWNS,681300,754000,725000,820000,850000
KEILOR EAST,870000,922500,923500,1000000,1060000
KENSINGTON,1200000,1017000,1180000,1254000,1192500
KEW,2300000,2967500,2800000,2300000,2580000
KEW EAST,1732500,1970000,2120000,1650000,1860000
KEYSBOROUGH,798400,835000,854500,1050000,972000
KINGSVILLE,1030000,1175000,1220000,1190000,1435000
KNOXFIELD,842500,930000,967500,1050000,1020000
KURUNJANG,432500,441500,460000,516000,515000
LALOR,645000,675800,682500,723500,731300
LILYDALE,757000,802500,828800,860000,916500
MACLEOD,981300,1160000,1078800,1175500,1237500
MAIDSTONE,840000,795000,880000,907500,845000
MALVERN,3230000,2645000,2850000,2925000,3505000
MALVERN EAST,1970500,2065000,2035000,1980000,2322500
MARIBYRNONG,908000,1222500,980000,1165000,1285000
MARIBYRNONG,908000,1222500,980000,1165000,1285000
MARIBYRNONG,908000,1222500,980000,1165000,1285000
MARIBYRNONG,908000,1222500,980000,1165000,1285000
MCKINNON,1850000,1827500,1980000,1960500,2050000
MEADOW HEIGHTS,500000,520000,557500,550000,579000
MELBOURNE,NA,NA,NA,NA,NA
MELTON,396500,430000,445000,457500,496300
MELTON,396500,430000,445000,457500,496300
MELTON,396500,430000,445000,457500,496300
MELTON,396500,430000,445000,457500,496300
MENTONE,1062500,1352500,1365000,1431000,1410000
MERNDA,587500,625000,651000,655000,700000
MIDDLE PARK,2875000,3400000,2819000,2710000,3267500
MILL PARK,691000,720000,725000,790000,801800
MITCHAM,1135000,1206500,1214000,1221000,1235000
MONTMORENCY,911000,930000,1178500,1161000,1260000
MOONEE PONDS,1332500,1590000,1512000,1490000,1570000
