suburb,Population,Separate_house,Semi_detached_row,Flat_apartment,other,House_Price_Mean,Offences_Recorded
ABBOTSFORD,9096,449,1050,2764,133,1321875,0
ABERFELDIE,26722,5318,2112,3002,25,1922750,0
AIRPORT WEST,16763,4495,2030,129,14,963125,0
ALBANVALE,55112,14505,2151,1227,31,605000,0
ALBERT PARK,10043,719,2510,902,13,2332250,0
ALBION,44372,11614,2459,1098,16,848000,0
ALPHINGTON,12237,2364,1147,1456,11,2196625,0
ALTONA,13556,3573,1578,423,15,1164375,0
ALTONA MEADOWS,28191,9016,1062,431,11,715825,0
ALTONA NORTH,12962,3233,1280,159,9,961025,0
ARMADALE,9376,1108,732,2511,8,2577500,0
ASCOT VALE,29874,4607,3050,4387,22,1306000,0
ASHBURTON,15102,3629,874,849,42,1970000,0
ASHWOOD,15102,3629,874,849,42,1434850,0
ASPENDALE,37364,8238,3675,1765,39,1303000,0
ASPENDALE GARDENS,37364,8238,3675,1765,39,1130200,0
ATTWOOD,9812,2941,569,20,5,987500,0
AVONDALE HEIGHTS,12388,3449,996,21,16,962500,0
BALWYN,15621,3507,1514,844,7,2736000,0
BALWYN NORTH,21302,5882,957,228,22,2251750,0
BAYSWATER NORTH,21276,5711,1948,582,0,857625,0
BEAUMARIS,20207,5304,1617,450,72,2089625,0
BELLFIELD,14003,3428,1979,161,4,NA,NA
BENTLEIGH,33130,6923,2683,2654,51,1717500,0
BENTLEIGH EAST,30159,7471,1526,1786,19,1462700,0
BLACK ROCK,20207,5304,1617,450,72,2434375,0
BLACKBURN,33044,8968,2265,1039,9,1634625,0
BLACKBURN NORTH,33044,8968,2265,1039,9,1299075,0
BLACKBURN SOUTH,33044,8968,2265,1039,9,1320875,0
BONBEACH,26876,5170,2893,2692,144,1150000,0
BORONIA,23660,6685,2333,319,10,839125,0
BOX HILL,22841,3382,2184,3510,8,1611500,0
BRAYBROOK,9682,1604,1654,131,21,765625,0
BRIGHTON,23252,5133,2011,1777,57,3474000,0
BRIGHTON EAST,16757,4078,1432,477,17,2294075,0
BROADMEADOWS,21478,4855,865,791,3,592825,0
